Index,Poster (Excel Formula),Chinese Title,English Title,Score,Categories,Region,Duration,Release Date,Poster URL,Local Poster Path
39,"=IMAGE(""https://p1.meituan.net/movie/d5970e36c8868a4b746c80f3b3f8a404174615.jpg@464w_644h_1e_1c"")",穿條紋睡衣的男孩,The Boy in the Striped Pajamas,8.8,劇情/戰爭,英國、美國,94 分鐘,2008-08-28 上映,https://p1.meituan.net/movie/d5970e36c8868a4b746c80f3b3f8a404174615.jpg@464w_644h_1e_1c,posters/39_穿條紋睡衣的男孩.jpg
40,"=IMAGE(""https://p0.meituan.net/movie/1199dc6273680f175fd9b06c9c36d08a219658.jpg@464w_644h_1e_1c"")",教父,The Godfather,8.8,劇情/犯罪,美國,175 分鐘,2015-04-18 上映,https://p0.meituan.net/movie/1199dc6273680f175fd9b06c9c36d08a219658.jpg@464w_644h_1e_1c,posters/40_教父.jpg
41,"=IMAGE(""https://p1.meituan.net/movie/4c55f3bf5fa9660db3cb7014651a0950267034.jpg@464w_644h_1e_1c"")",螢火之森,蛍火の杜へ,8.8,劇情/愛情/動畫/奇幻,日本,45 分鐘,2011-09-17 上映,https://p1.meituan.net/movie/4c55f3bf5fa9660db3cb7014651a0950267034.jpg@464w_644h_1e_1c,posters/41_螢火之森.jpg
42,"=IMAGE(""https://p0.meituan.net/movie/19653e8af59cf473cd40f9ccc0658d93692304.jpg@464w_644h_1e_1c"")",素媛,소원,8.8,劇情,韓國,123 分鐘,2013-10-02 上映,https://p0.meituan.net/movie/19653e8af59cf473cd40f9ccc0658d93692304.jpg@464w_644h_1e_1c,posters/42_素媛.jpg
43,"=IMAGE(""https://p1.meituan.net/movie/135c612860fae899df2220149664d97a173555.jpg@464w_644h_1e_1c"")",小鞋子,بچههای آسمان,8.8,劇情/家庭,伊朗,89 分鐘,,https://p1.meituan.net/movie/135c612860fae899df2220149664d97a173555.jpg@464w_644h_1e_1c,posters/43_小鞋子.jpg
44,"=IMAGE(""https://p1.meituan.net/movie/2a0783b4fd95566568f24adfad2181bb5392280.jpg@464w_644h_1e_1c"")",熔爐,도가니,8.8,劇情,韓國,125 分鐘,2011-09-22 上映,https://p1.meituan.net/movie/2a0783b4fd95566568f24adfad2181bb5392280.jpg@464w_644h_1e_1c,posters/44_熔爐.jpg
45,"=IMAGE(""https://p1.meituan.net/moviemachine/508056769092059fe43a611b949f27d14863831.jpg@464w_644h_1e_1c"")",大話西遊之大聖娶親,A Chinese Odyssey Part Two - Cinderella,8.9,喜劇/愛情/奇幻,中國香港、中國大陸,110 分鐘,2014-10-24 上映,https://p1.meituan.net/moviemachine/508056769092059fe43a611b949f27d14863831.jpg@464w_644h_1e_1c,posters/45_大話西遊之大聖娶親.jpg
46,"=IMAGE(""https://p1.meituan.net/movie/7833126c8c21a11571bb52fbdece0acb811449.jpg@464w_644h_1e_1c"")",新龍門客棧,New Dragon Gate Inn,8.9,動作/愛情/武俠/古裝,中國香港、中國大陸,88 分鐘,2012-02-24 上映,https://p1.meituan.net/movie/7833126c8c21a11571bb52fbdece0acb811449.jpg@464w_644h_1e_1c,posters/46_新龍門客棧.jpg
47,"=IMAGE(""https://p1.meituan.net/movie/1e700e53e4fe29dd5942381bb353c8532239179.jpg@464w_644h_1e_1c"")",觸不可及,Intouchables,8.9,劇情/喜劇,法國,112 分鐘,2011-11-02 上映,https://p1.meituan.net/movie/1e700e53e4fe29dd5942381bb353c8532239179.jpg@464w_644h_1e_1c,posters/47_觸不可及.jpg
48,"=IMAGE(""https://p0.meituan.net/movie/bcbe59fc51580317adf94537a61a1a26142090.jpg@464w_644h_1e_1c"")",鋼琴家,The Pianist,8.9,劇情/音樂/傳記/歷史/戰爭,法國、德國、英國、波蘭,150 分鐘,2002-05-24 上映,https://p0.meituan.net/movie/bcbe59fc51580317adf94537a61a1a26142090.jpg@464w_644h_1e_1c,posters/48_鋼琴家.jpg
