post_id,post_title,comment_id,author,content,rating,created_at
data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D,三媽臭臭鍋 逢甲店,"https://www.google.com/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E9%80%A2%E7%94%B2%E5%BA%97/@24.1693425,120.6455694,16z/data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D_rev_10",ᴄʜɪʜ ʟɪɴ,"😮‍💨衛生環境堪憂,一個鍋裡就三隻蟲 (一隻就算了)也不知道自己吃了幾隻〰︎ ...",,2026-07-25 07:00:49.668599+00:00
data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D,三媽臭臭鍋 逢甲店,"https://www.google.com/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E9%80%A2%E7%94%B2%E5%BA%97/@24.1693425,120.6455694,16z/data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D_rev_11",林順億,"今天來三媽火鍋逢甲店用餐,生意真的超好!不管是內用還是外帶人都很多,現場需要稍微等一下。不過翻桌速度算快,店員也都很忙但還是蠻有耐心的。火鍋口味一樣穩定,冷冷的天氣來吃很適合~建議尖峰時段要有等候的心理準備。",,2026-07-25 07:00:49.668684+00:00
data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D,三媽臭臭鍋 逢甲店,"https://www.google.com/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E9%80%A2%E7%94%B2%E5%BA%97/@24.1693425,120.6455694,16z/data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D_rev_12",臻假的,來的人很多 等待需要花一些時間 點了茄紅蕃茄鍋$200 一個人正常份量剛好 會飽的程度 ...,,2026-07-25 07:00:49.668766+00:00
data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D,三媽臭臭鍋 逢甲店,"https://www.google.com/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E9%80%A2%E7%94%B2%E5%BA%97/@24.1693425,120.6455694,16z/data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D_rev_13",小子,"排了半小時吃到,真心覺得普普,南瓜鍋湯頭非常淡,臭臭鍋一般,鍋裡的菜跟豆皮都是碎的,非常小片,料感覺也不多,真心不用來湊熱鬧。",,2026-07-25 07:00:49.668851+00:00
data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D,三媽臭臭鍋 逢甲店,"https://www.google.com/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E9%80%A2%E7%94%B2%E5%BA%97/@24.1693425,120.6455694,16z/data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D_rev_14",son Pa,"服務態度超差 不能火鍋料換菜、不能先煮熟 豆皮給很多,食物還行",,2026-07-25 07:00:49.668942+00:00
data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D,三媽臭臭鍋 逢甲店,"https://www.google.com/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E9%80%A2%E7%94%B2%E5%BA%97/@24.1693425,120.6455694,16z/data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D_rev_15",YI Zhen Li,"線上點的,送來吃到一半裡面有異物...打電話過去反應,他說:喔那麻煩您線上退費喔。????不用關心一下客人身體嗎????",,2026-07-25 07:00:49.669024+00:00
data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D,三媽臭臭鍋 逢甲店,"https://www.google.com/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E9%80%A2%E7%94%B2%E5%BA%97/@24.1693425,120.6455694,16z/data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D_rev_16",410537061 TKU,是真的跟其他間三媽吃起來就是不一樣 真的很好吃 所以一直很常去 也常常客滿 但是最近蒼蠅真的太多了吧...... ...,,2026-07-25 07:00:49.669107+00:00
data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D,三媽臭臭鍋 逢甲店,"https://www.google.com/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E9%80%A2%E7%94%B2%E5%BA%97/@24.1693425,120.6455694,16z/data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D_rev_17",杰鴒,"今天是吃砂鍋魚頭和泡菜鍋,湯頭與其他的三媽臭臭鍋是不一樣的,就連沙茶醬也和外面的不一樣,內用有飲料和冰淇淋免費享用,餐點的份量很剛好,食材也新鮮,建議避開用餐時間,才不會因為人潮過多,需要等待比較久的時間!",,2026-07-25 07:00:49.669188+00:00
data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D,三媽臭臭鍋 逢甲店,"https://www.google.com/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E9%80%A2%E7%94%B2%E5%BA%97/@24.1693425,120.6455694,16z/data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D_rev_18",uu,"有時候好吃有時候難吃啊今天剛好很難吃==點中辣完全沒加辣味道也超怪,生意很好等40分鐘結果拿到這個難吃東西真的有夠不爽^_^",,2026-07-25 07:00:49.669266+00:00
data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D,三媽臭臭鍋 逢甲店,"https://www.google.com/maps/place/%E4%B8%89%E5%AA%BD%E8%87%AD%E8%87%AD%E9%8D%8B+%E9%80%A2%E7%94%B2%E5%BA%97/@24.1693425,120.6455694,16z/data=!4m8!3m7!1s0x34693d8a184cc123:0x38e9f0a2dbac8f5a!8m2!3d24.1693376!4d120.6481497!9m1!1b1!16s%2Fg%2F11b7y834wf?entry=ttu&g_ep=EgoyMDI2MDcyMi4wIKXMDSoASAFQAw%3D%3D_rev_19",林芳,用熊貓平台叫外送 送來火鍋裡有蒼蠅 店家推卸責任叫我跟平台說 平台跟我說給我最完美的解決方式是全額退款,,2026-07-25 07:00:49.669353+00:00
